Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
24,0.192,1087.36658,215.52809,1227.05164,1068.20532,170.24446,1223.39172,1096.12366,125.09203,1227.43176,1113.17603,99.71356,1243.27197,1161.09802,168.82234,1219.7356,1200.18884,148.00372,1194.51904,1229.45178,132.17525,1175.18066
25,0.2,1087.36658,215.52809,1227.05164,1068.20532,170.24446,1223.39172,1096.21545,124.72999,1227.36304,1113.17603,99.71356,1243.27197,1161.18567,169.06226,1219.52173,1200.18884,148.00372,1194.51904,1229.13892,132.02214,1174.99268
26,0.208,1087.16382,215.489,1227.09851,1068.07874,170.12099,1223.5094,1096.21545,124.72999,1227.36304,1113.17603,99.71356,1243.27197,1161.00891,169.02713,1219.25415,1200.18884,148.00372,1194.51904,1229.13892,132.02214,1174.99268
27,0.217,1086.84058,214.72069,1227.09302,1068.26477,170.69061,1223.7771,1096.03357,124.79813,1226.98706,1112.89172,99.7775,1243.11035,1160.69849,168.58394,1219.45996,1200.18884,148.00372,1194.51904,1229.13892,132.02214,1174.99268
28,0.225,1086.96826,214.60921,1226.55884,1067.87695,170.53491,1223.84314,1096.21545,124.72999,1227.36304,1112.89172,99.7775,1243.11035,1160.78613,168.82387,1219.24609,1200.18884,148.00372,1194.51904,1229.13892,132.02214,1174.99268
29,0.233,1086.84058,214.72069,1227.09302,1068.07874,170.12099,1223.5094,1096.24597,124.87411,1227.17651,1112.72876,99.99323,1242.95264,1160.78613,168.82387,1219.24609,1200.18884,148.00372,1194.51904,1229.13892,132.02214,1174.99268
30,0.242,1087.16382,215.489,1227.09851,1068.11755,170.55798,1223.90588,1096.24597,124.87411,1227.17651,1112.89172,99.7775,1243.11035,1160.69849,168.58394,1219.45996,1200.18884,148.00372,1194.51904,1229.35217,131.95587,1174.65161
31,0.25,1086.96826,214.67441,1227.54968,1068.11755,170.55798,1223.90588,1096.21545,124.72999,1227.36304,1112.89172,99.7775,1243.11035,1160.78613,168.82387,1219.24609,1200.20288,148.14711,1194.44043,1229.13892,132.02214,1174.99268
32,0.258,1087.08875,215.40353,1227.60193,1068.11755,170.55798,1223.90588,1095.98779,124.65625,1227.16724,1112.89172,99.7775,1243.11035,1160.69849,168.58394,1219.45996,1200.20288,148.14711,1194.44043,1229.35217,131.95587,1174.65161
33,0.267,1086.99475,215.53725,1227.68762,1068.07874,170.12099,1223.5094,1096.24597,124.87411,1227.17651,1113.17603,99.71356,1243.27197,1160.78613,168.82387,1219.24609,1200.20288,148.14711,1194.44043,1229.35217,131.95587,1174.65161
34,0.275,1086.86194,215.58719,1227.27612,1068.10706,170.29305,1223.65051,1096.12366,125.09203,1227.43176,1113.17603,99.71356,1243.27197,1160.92126,168.7872,1219.46802,1200.19727,148.34059,1194.38123,1229.35217,131.95587,1174.65161
35,0.283,1086.86194,215.58719,1227.27612,1068.10706,170.29305,1223.65051,1096.12366,125.09203,1227.43176,1113.17603,99.71356,1243.27197,1161.12891,169.06824,1219.87622,1200.00427,148.44421,1194.60413,1229.13892,132.02214,1174.99268
36,0.292,1086.86194,215.58719,1227.27612,1068.10706,170.29305,1223.65051,1096.28149,125.02361,1227.55945,1113.17603,99.71356,1243.27197,1161.12891,169.06824,1219.87622,1199.98682,148.30917,1194.68579,1229.45178,132.17525,1175.18066
37,0.3,1086.5387,214.81895,1227.27075,1068.10706,170.29305,1223.65051,1096.28149,125.02361,1227.55945,1112.61646,100.04568,1243.68787,1160.61951,169.17085,1220.49292,1199.98682,148.30917,1194.68579,1229.76318,131.87244,1175.51709
38,0.308,1086.7561,215.92621,1227.80383,1067.73596,170.23839,1223.70459,1096.03101,125.33997,1227.52856,1112.61646,100.04568,1243.68787,1160.61951,169.17085,1220.49292,1199.98682,148.30917,1194.68579,1229.76318,131.87244,1175.51709
39,0.317,1086.30212,216.07625,1227.80005,1067.95874,170.31972,1223.6626,1095.82288,125.69477,1227.52112,1112.61646,100.04568,1243.68787,1160.61951,169.17085,1220.49292,1199.98621,148.39685,1195.00879,1229.76318,131.87244,1175.51709
40,0.325,1086.07385,216.4306,1227.8717,1067.73596,170.23839,1223.70459,1096.18884,125.27154,1227.65637,1112.61646,100.04568,1243.68787,1160.61951,169.17085,1220.49292,1199.99512,148.19502,1195.06494,1229.76318,131.87244,1175.51709
41,0.333,1086.07385,216.4306,1227.8717,1067.34973,170.66428,1223.76184,1096.18884,125.27154,1227.65637,1112.61646,100.04568,1243.68787,1160.61951,169.17085,1220.49292,1199.99512,148.19502,1195.06494,1229.22058,132.80293,1175.57141
42,0.342,1085.94104,216.48058,1227.46033,1067.48914,170.75116,1223.69189,1096.15747,125.48306,1227.36511,1112.61646,100.04568,1243.68787,1160.61951,169.17085,1220.49292,1199.99512,148.19502,1195.06494,1229.22058,132.80293,1175.57141
43,0.35,1085.94104,216.48058,1227.46033,1067.48914,170.75116,1223.69189,1095.29773,125.59799,1227.15076,1112.61646,100.04568,1243.68787,1160.11682,168.88072,1220.39819,1199.79871,148.45192,1195.1355,1229.76318,131.87244,1175.51709
44,0.358,1085.91309,216.39255,1227.57458,1067.48914,170.75116,1223.69189,1095.82288,125.69477,1227.52112,1112.61646,100.04568,1243.68787,1160.11682,168.88072,1220.39819,1199.79871,148.45192,1195.1355,1229.22058,132.80293,1175.57141
45,0.367,1085.94104,216.48058,1227.46033,1067.34973,170.66428,1223.76184,1094.90027,125.74723,1227.49194,1112.61646,100.04568,1243.68787,1160.11682,168.88072,1220.39819,1199.20313,148.27042,1195.02625,1228.90759,132.64984,1175.38342
46,0.375,1086.0459,216.34254,1227.98596,1067.34973,170.66428,1223.76184,1095.62915,125.36725,1228.04907,1112.61646,100.04568,1243.68787,1158.99524,168.52734,1219.75476,1199.20313,148.27042,1195.02625,1228.90759,132.64984,1175.38342
47,0.383,1086.0459,216.34254,1227.98596,1067.48914,170.75116,1223.69189,1095.82288,125.69477,1227.52112,1112.61646,100.04568,1243.68787,1158.99524,168.52734,1219.75476,1199.24817,148.19922,1194.57397,1228.91528,133.06519,1175.29492
48,0.392,1086.0459,216.34254,1227.98596,1067.46558,171.30013,1224.13953,1094.85571,125.38705,1226.98535,1112.33228,100.10965,1243.52625,1159.97229,168.86476,1220.1134,1198.84692,148.73216,1194.54382,1228.37329,133.9957,1175.34912
49,0.4,1085.91309,216.39255,1227.57458,1067.74292,171.11359,1223.86584,1094.85571,125.38705,1226.98535,1112.33228,100.10965,1243.52625,1158.89844,168.53963,1219.54224,1199.04443,148.80556,1194.52747,1228.42346,133.67812,1174.97644
50,0.408,1085.78015,216.4545,1227.66138,1067.26038,170.93602,1223.89673,1094.85571,125.38705,1226.98535,1112.33228,100.10965,1243.52625,1158.89844,168.53963,1219.54224,1198.54053,148.61867,1194.31799,1228.42346,133.67812,1174.97644
51,0.417,1085.78015,216.4545,1227.66138,1067.46558,171.30013,1224.13953,1094.0658,125.42819,1226.69617,1112.5094,100.21472,1243.32251,1158.89844,168.53963,1219.54224,1198.73816,148.69215,1194.30164,1228.42346,133.67812,1174.97644
52,0.425,1085.78015,216.4545,1227.66138,1067.46558,171.30013,1224.13953,1095.604,125.21433,1227.06812,1112.33228,100.10965,1243.52625,1158.7605,168.88107,1219.39587,1198.54053,148.61867,1194.31799,1228.42346,133.67812,1174.97644
53,0.433,1085.91296,216.40448,1228.07275,1066.5835,171.27171,1224.07227,1094.41748,124.98286,1227.29492,1112.33228,100.10965,1243.52625,1158.89844,168.53963,1219.54224,1198.68628,148.597,1194.51746,1228.42346,133.67812,1174.97644
54,0.442,1085.60083,216.38188,1227.90674,1066.5835,171.27171,1224.07227,1094.41748,124.98286,1227.29492,1112.33228,100.10965,1243.52625,1158.64734,169.17235,1219.63477,1198.54053,148.61867,1194.31799,1228.37329,133.9957,1175.34912
55,0.45,1085.91296,216.40448,1228.07275,1066.94434,171.72365,1224.22852,1093.73975,125.19678,1227.30273,1112.61646,100.04568,1243.68787,1158.64734,169.17235,1219.63477,1198.54004,149.22398,1194.8916,1228.37329,133.9957,1175.34912
56,0.458,1085.6925,216.39182,1227.74158,1066.5835,171.27171,1224.07227,1093.14294,125.21956,1227.07263,1112.61646,100.04568,1243.68787,1158.4928,168.97435,1219.74683,1198.81555,149.34422,1195.15942,1227.85388,134.49782,1175.44287
57,0.467,1085.82532,216.34178,1228.15295,1066.00708,171.43536,1224.05615,1093.45337,125.18027,1227.90381,1112.61646,100.04568,1243.68787,1158.4928,168.97435,1219.74683,1198.65503,149.20906,1195.13318,1227.85388,134.49782,1175.44287
58,0.475,1085.41504,216.38474,1227.74585,1066.00708,171.43536,1224.05615,1093.24414,125.21104,1227.85596,1112.61646,100.04568,1243.68787,1158.4928,168.97435,1219.74683,1198.29944,149.0679,1195.13477,1227.82788,134.25662,1175.77026
59,0.483,1085.10303,216.36197,1227.57971,1065.99377,171.58603,1224.31482,1093.45337,125.18027,1227.90381,1112.61646,100.04568,1243.68787,1158.36462,169.06351,1219.85193,1197.69153,149.1703,1195.57507,1227.82788,134.25662,1175.77026
60,0.492,1084.49524,215.85536,1227.15063,1066.00708,171.43536,1224.05615,1092.99048,125.40295,1228.25464,1112.61646,100.04568,1243.68787,1158.00781,168.9599,1219.86267,1197.79126,148.5589,1195.7915,1227.82788,134.25662,1175.77026
61,0.5,1084.31006,215.89824,1227.4762,1065.65552,171.74928,1224.61523,1092.99048,125.40295,1228.25464,1111.63208,100.34563,1243.91858,1157.99841,168.94672,1220.58252,1197.73303,148.87672,1195.75745,1227.82031,133.84128,1175.85889
62,0.508,1085.24561,216.29248,1228.6665,1065.68884,171.5994,1224.36853,1093.41479,125.5034,1227.83484,1111.54822,100.569,1244.25745,1157.99841,168.94672,1220.58252,1197.52417,148.53941,1195.49548,1226.84338,133.86626,1176.45667
63,0.517,1085.24561,216.29248,1228.6665,1065.36279,171.66296,1224.30847,1092.87451,125.539,1227.64783,1111.54822,100.569,1244.25745,1157.99841,168.94672,1220.58252,1197.7998,148.65979,1195.76343,1226.80432,134.27628,1176.38171
64,0.525,1084.68787,215.49918,1228.37012,1065.49548,171.59225,1224.25391,1092.87451,125.539,1227.64783,1111.63208,100.34563,1243.91858,1157.745,169.569,1220.73181,1197.46521,148.67372,1195.34973,1226.84338,133.86626,1176.45667
65,0.533,1084.75049,215.48953,1227.65894,1065.42273,171.52078,1224.08972,1092.87451,125.539,1227.64783,1111.63208,100.34563,1243.91858,1157.745,169.569,1220.73181,1197.41602,149.04994,1195.30725,1227.82031,133.84128,1175.85889
66,0.542,1084.75049,215.48953,1227.65894,1065.36279,171.66296,1224.30847,1092.87451,125.539,1227.64783,1111.34351,100.39434,1243.79016,1157.745,169.569,1220.73181,1197.41602,149.04994,1195.30725,1227.05273,134.20424,1176.14111
67,0.55,1084.8833,215.43961,1228.07031,1065.06104,171.50034,1223.8634,1092.87451,125.539,1227.64783,1111.34351,100.39434,1243.79016,1157.99841,168.94672,1220.58252,1197.41602,149.04994,1195.30725,1227.82788,134.25662,1175.77026
68,0.558,1084.75049,215.48953,1227.65894,1065.60474,171.96622,1224.41357,1092.87451,125.539,1227.64783,1111.34351,100.39434,1243.79016,1158.00378,169.14481,1220.50134,1197.48901,149.09821,1195.14453,1227.85388,134.49782,1175.44287
69,0.567,1085.07373,216.25754,1227.66443,1065.36279,171.66296,1224.30847,1092.87451,125.539,1227.64783,1111.34351,100.39434,1243.79016,1157.75024,169.76707,1220.65051,1197.22107,149.45447,1195.31689,1227.85388,134.49782,1175.44287
70,0.575,1084.8833,215.43961,1228.07031,1065.90259,171.45604,1224.22876,1092.87451,125.539,1227.64783,1111.34351,100.39434,1243.79016,1157.74902,169.38431,1220.09338,1197.22107,149.45447,1195.31689,1227.85388,134.49782,1175.44287
71,0.583,1084.89941,215.33659,1228.20532,1065.8894,171.60674,1224.48743,1092.87451,125.539,1227.64783,1111.63208,100.34563,1243.91858,1157.74902,169.38431,1220.09338,1197.22107,149.45447,1195.31689,1227.85388,134.49782,1175.44287
72,0.592,1085.03113,215.28685,1228.61707,1065.65552,171.74928,1224.61523,1092.87451,125.539,1227.64783,1111.63208,100.34563,1243.91858,1157.745,169.569,1220.73181,1197.22107,149.45447,1195.31689,1227.85388,134.49782,1175.44287
73,0.6,1085.03113,215.28685,1228.61707,1065.40356,171.37587,1224.68689,1092.87451,125.539,1227.64783,1111.63208,100.34563,1243.91858,1157.745,169.569,1220.73181,1197.22107,149.45447,1195.31689,1227.82788,134.25662,1175.77026
74,0.608,1084.89941,215.33659,1228.20532,1065.77966,171.37294,1224.88013,1092.80969,125.45813,1228.40466,1111.41223,100.7331,1244.37524,1157.745,169.569,1220.73181,1197.28003,149.32022,1195.46265,1226.80432,134.27628,1176.38171
75,0.617,1083.99487,214.62337,1228.31519,1065.32227,171.41103,1224.70593,1092.80969,125.45813,1228.40466,1111.41223,100.7331,1244.37524,1157.67029,169.49678,1220.90125,1197.37756,149.3026,1196.00867,1226.80432,134.27628,1176.38171
