Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
24,0.192,-1409.22852,328.23221,784.97931,-1370.42969,306.38254,782.40881,-1351.65332,309.97803,752.21863,-1323.53638,314.6572,719.60388,-1401.42041,344.49319,719.59894,-1398.28284,343.11359,666.19165,-1404.36877,336.65164,625.89429
25,0.2,-1404.19739,328.20651,784.27875,-1363.52075,307.37952,782.37854,-1346.48706,311.65442,751.54529,-1318.79382,318.26208,719.9881,-1394.78552,346.17807,718.65393,-1392.11975,344.74091,665.47644,-1398.93616,337.48257,624.62714
26,0.208,-1396.10657,330.72858,783.31378,-1357.73352,308.86203,781.25201,-1340.25977,312.26373,749.99622,-1313.53589,321.2229,719.8562,-1389.22742,348.72818,717.53461,-1384.0946,346.26389,664.57178,-1391.36438,339.61642,623.42334
27,0.217,-1391.3103,331.3562,782.43274,-1350.71594,308.06094,780.39545,-1334.40784,315.44305,749.83014,-1306.51941,321.34845,719.8808,-1383.71716,349.93192,716.96246,-1379.33496,348.15643,663.54297,-1386.40369,341.48215,622.85162
28,0.225,-1386.49939,333.04605,781.43738,-1344.14429,310.5791,780.03595,-1326.98938,315.16003,747.41022,-1300.99902,323.60501,719.24451,-1377.01111,352.93265,716.6214,-1371.90942,349.71832,662.53656,-1379.52454,343.31995,621.98431
29,0.233,-1380.51685,335.81085,781.80164,-1338.40857,312.74091,780.65631,-1320.68433,315.72781,747.09521,-1295.86682,325.63641,718.75043,-1370.33032,353.68268,715.89178,-1365.46252,351.19528,662.51685,-1371.98315,344.50186,621.10272
30,0.242,-1371.86707,337.22513,780.03607,-1331.78076,313.38547,778.58252,-1312.66638,317.27383,746.7569,-1285.55273,325.02335,717.64294,-1364.12622,355.35291,715.40179,-1359.0177,353.34772,662.25317,-1365.92566,346.67853,621.05804
31,0.25,-1364.84875,339.84372,779.21069,-1326.78052,316.79077,778.73535,-1307.04663,319.83072,746.87598,-1278.7832,325.45389,719.54694,-1356.41858,355.97916,714.94043,-1351.60767,355.83621,661.45056,-1357.98389,348.6261,620.46179
32,0.258,-1358.89026,340.37094,779.07819,-1317.45142,316.04361,776.82147,-1301.28735,321.38022,746.01556,-1273.22095,328.8125,716.26978,-1349.92896,358.53113,714.04578,-1346.90259,357.66229,661.20807,-1351.90881,350.43054,620.46246
33,0.267,-1352.45813,342.71466,778.38873,-1311.93298,318.98779,777.68903,-1296.62219,325.03964,747.68762,-1267.53735,330.10672,716.3288,-1343.38049,360.98651,714.36841,-1338.83594,359.17358,660.88538,-1345.29407,352.51822,619.92786
34,0.275,-1345.55835,343.39584,778.54541,-1306.46423,322.01392,777.77893,-1287.77893,324.40582,746.74792,-1261.98657,334.20349,717.0708,-1336.13403,361.79477,714.14056,-1331.1239,360.58698,661.53815,-1336.34583,354.92154,620.42303
35,0.283,-1337.26721,344.99118,778.50183,-1298.64063,321.80334,778.32361,-1278.52527,325.69333,748.47528,-1250.34058,330.20413,715.66809,-1327.20801,362.50571,714.30695,-1323.20422,361.56259,660.59015,-1331.43298,355.65933,620.40845
36,0.292,-1330.84351,346.33725,778.13025,-1293.75134,326.23743,779.0061,-1271.64941,326.32465,747.53589,-1244.53772,334.5856,717.16119,-1321.95105,364.66205,714.20331,-1316.74036,363.19397,661.05176,-1322.64417,357.61859,619.66638
37,0.3,-1323.76904,347.85287,778.46399,-1284.9696,327.27805,778.41406,-1266.97791,329.96674,748.38745,-1237.92236,335.27261,716.61414,-1313.21387,366.436,714.21619,-1308.83496,365.86453,660.83154,-1313.27661,359.32755,620.55164
