Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
24,0.192,-1185.60986,278.5687,846.37183,-1172.20667,229.74219,839.08929,-1187.06885,194.97386,788.56232,-1178.74243,201.02571,727.56165,-1170.22449,292.32462,771.92169,-1185.29749,273.78156,715.58746,-1212.05103,256.6991,673.21185
25,0.2,-1181.08887,278.02835,845.02924,-1170.48853,230.61528,838.39526,-1179.49231,194.80443,788.56152,-1177.75427,201.55551,726.30756,-1163.76501,291.68967,771.85614,-1180.4425,272.7912,713.81659,-1206.47192,255.84851,673.35504
26,0.208,-1176.18701,275.31552,845.5296,-1164.86755,225.92059,837.43188,-1175.1499,194.2023,788.28564,-1171.50525,199.62143,724.77582,-1161.12964,291.38718,771.09845,-1175.55359,273.24329,713.67944,-1203.84998,257.47385,672.9917
27,0.217,-1172.66553,277.10941,843.8241,-1160.13062,226.76193,836.7146,-1172.29248,193.43408,788.43707,-1169.67932,200.97487,725.00348,-1156.59778,290.28595,770.97668,-1172.18774,271.67151,714.21362,-1198.9812,255.67967,671.55402
28,0.225,-1166.39221,275.78439,843.05914,-1154.7793,228.21263,835.36932,-1165.36243,191.84364,787.65149,-1163.12134,200.20929,724.50769,-1151.98596,289.72144,769.58472,-1169.05786,271.17422,713.77661,-1194.7793,253.35744,670.229
29,0.233,-1161.34875,275.47913,842.77332,-1152.30518,227.31592,835.55243,-1162.16357,193.9476,787.05853,-1156.20618,197.69327,723.38379,-1147.42139,289.59122,767.44293,-1164.05518,270.28613,712.83569,-1189.6416,255.57936,669.88342
30,0.242,-1158.35999,275.15204,842.6496,-1149.41113,225.95926,835.57501,-1156.90979,192.76141,785.81158,-1154.72815,198.87073,723.34674,-1143.07434,288.39212,767.02753,-1159.40503,271.7728,711.12262,-1185.33411,255.07227,669.86725
31,0.25,-1153.93689,274.68103,841.8858,-1141.47229,225.79233,835.0274,-1154.25427,193.55859,783.9967,-1147.94202,197.81021,723.28217,-1139.9541,288.49481,766.00409,-1153.73035,269.81769,710.14667,-1182.8009,253.69615,668.23761
32,0.258,-1149.21167,274.70065,840.78668,-1138.8822,227.84778,832.78638,-1148.11108,191.4101,782.39783,-1147.0365,197.5005,722.49091,-1134.25037,286.50385,766.27692,-1150.12219,269.36411,710.20459,-1175.97351,251.55768,668.22589
33,0.267,-1143.9613,272.85788,840.92017,-1132.854,224.86417,832.17517,-1140.76538,191.49254,782.24628,-1141.50806,194.93021,720.84583,-1129.83618,288.89001,765.63226,-1146.69958,268.28015,710.06116,-1173.56384,253.87576,667.24207
