Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
26,0.208,-85.64841,155.9296,576.51221,-103.66781,107.84129,603.77496,-63.8647,93.58212,620.76758,-11.16641,75.87418,592.08893,-14.07099,141.60803,573.80536,5.08131,87.96793,567.93292,-3.81812,37.27569,553.80048
27,0.217,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.8647,93.58212,620.76758,-11.16641,75.87418,592.08893,-14.07099,141.60803,573.80536,5.08131,87.96793,567.93292,-3.81812,37.27569,553.80048
28,0.225,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.78646,94.03971,620.4411,-11.16641,75.87418,592.08893,-14.07099,141.60803,573.80536,4.80976,88.10667,567.8537,-3.81812,37.27569,553.80048
29,0.233,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.8647,93.58212,620.76758,-11.16641,75.87418,592.08893,-13.90627,141.64557,573.90656,4.80976,88.10667,567.8537,-4.22169,36.79202,554.13824
30,0.242,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.94214,93.96261,620.078,-11.16641,75.87418,592.08893,-13.8375,140.8788,573.79968,4.61247,87.92757,567.67316,-4.28052,37.16972,553.70245
31,0.25,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.0842,93.79653,619.89728,-11.16641,75.87418,592.08893,-14.07099,141.60803,573.80536,4.61247,87.92757,567.67316,-4.28052,37.16972,553.70245
32,0.258,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-64.22351,93.61823,619.78009,-11.16641,75.87418,592.08893,-14.04789,141.57767,574.17084,4.61247,87.92757,567.67316,-4.28052,37.16972,553.70245
33,0.267,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-64.22351,93.61823,619.78009,-11.20543,75.76022,591.54224,-13.90627,141.64557,573.90656,4.61247,87.92757,567.67316,-4.28052,37.16972,553.70245
34,0.275,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.88554,93.07278,619.68335,-11.55219,75.56042,591.29785,-13.67276,140.91638,573.90082,4.61247,87.92757,567.67316,-4.88893,36.5503,553.9054
35,0.283,-85.64841,155.9296,576.51221,-104.03674,104.85779,603.16345,-64.13393,92.34457,619.89514,-11.50524,75.19971,591.01855,-13.90627,141.64557,573.90656,4.61247,87.92757,567.67316,-4.88893,36.5503,553.9054
36,0.292,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.88554,93.07278,619.68335,-11.69715,75.07955,590.65247,-13.73536,141.13918,574.14636,4.61247,87.92757,567.67316,-4.28052,37.16972,553.70245
37,0.3,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.76082,93.36355,619.7182,-11.69715,75.07955,590.65247,-13.88319,141.6152,574.27197,4.61247,87.92757,567.67316,-4.61466,36.82927,553.85022
38,0.308,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.76082,93.36355,619.7182,-11.9318,75.33757,590.4751,-13.88319,141.6152,574.27197,4.61247,87.92757,567.67316,-4.61466,36.82927,553.85022
39,0.317,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.76082,93.36355,619.7182,-11.50524,75.19971,591.01855,-13.67276,140.91638,573.90082,4.61247,87.92757,567.67316,-4.61466,36.82927,553.85022
40,0.325,-85.36309,156.35173,576.5202,-103.56022,107.46193,603.24628,-63.62156,93.54185,619.83539,-11.73987,75.45771,590.84131,-13.88319,141.6152,574.27197,4.43815,88.13414,567.48828,-4.5547,36.89066,553.75769
41,0.333,-85.36309,156.35173,576.5202,-103.56022,107.46193,603.24628,-62.90926,94.52821,619.4978,-11.73404,76.13151,591.25574,-13.90627,141.64557,573.90656,4.63547,88.31323,567.66882,-4.28052,37.16972,553.70245
42,0.342,-85.36309,156.35173,576.5202,-103.56022,107.46193,603.24628,-63.29684,93.76443,620.12939,-11.33616,76.44103,591.51257,-13.74438,141.93591,573.80591,4.49199,88.74894,567.30664,-4.38941,37.79354,553.52802
43,0.35,-85.19846,156.67879,576.46747,-103.56022,107.46193,603.24628,-63.32053,93.95781,619.94678,-10.86662,76.40646,591.53198,-13.74438,141.93591,573.80591,4.49199,88.74894,567.30664,-4.42227,36.76603,554.45984
44,0.358,-84.9178,156.60886,576.43915,-103.14345,108.1924,603.40485,-63.35629,93.88621,620.02954,-10.52193,76.04665,591.75836,-13.57837,142.2796,573.33942,4.55163,88.67686,567.25848,-4.54558,37.31681,554.36572
45,0.367,-84.92982,156.83817,575.53931,-103.14345,108.1924,603.40485,-62.55349,94.98248,619.89813,-11.14134,76.9361,591.75403,-13.31981,142.49869,573.35156,4.67157,88.90844,567.05225,-4.28331,38.25367,554.52502
46,0.375,-84.64911,156.76819,575.51099,-103.00649,108.86675,603.73413,-63.08743,94.10978,620.0412,-11.14134,76.9361,591.75403,-13.31981,142.49869,573.35156,4.17868,89.76674,567.0575,-4.00987,38.42375,554.69006
47,0.383,-84.92982,156.83817,575.53931,-103.00649,108.86675,603.73413,-62.55349,94.98248,619.89813,-10.96195,76.68814,592.30066,-13.15769,142.78868,573.25092,4.44215,89.56264,567.2135,-3.95382,37.98419,555.17224
48,0.392,-85.00413,156.53857,574.95203,-102.95339,109.32101,603.48389,-63.39262,94.60562,620.04755,-10.96195,76.68814,592.30066,-13.15769,142.78868,573.25092,4.17868,89.76674,567.0575,-3.95382,37.98419,555.17224
49,0.4,-84.76103,156.83427,574.80072,-103.00649,108.86675,603.73413,-63.11202,94.96822,620.17328,-10.96195,76.68814,592.30066,-13.2842,142.87938,572.80072,4.17868,89.76674,567.0575,-3.95382,37.98419,555.17224
50,0.408,-85.05447,156.8967,574.83997,-102.95339,109.32101,603.48389,-63.29724,95.70782,620.17584,-10.74984,76.92341,592.53625,-13.20314,143.06721,572.65753,4.17868,89.76674,567.0575,-4.00987,38.42375,554.69006
51,0.417,-85.29755,156.60097,574.99121,-102.95339,109.32101,603.48389,-63.73519,95.10422,620.10571,-10.95765,77.26429,592.87616,-13.22271,142.93019,572.99225,4.17868,89.76674,567.0575,-3.95382,37.98419,555.17224
52,0.425,-85.11834,156.4686,575.04913,-102.95339,109.32101,603.48389,-63.55004,94.36443,620.10309,-9.95405,77.44794,593.41974,-13.32238,142.75114,573.14972,4.17868,89.76674,567.0575,-3.95382,37.98419,555.17224
53,0.433,-85.11834,156.4686,575.04913,-103.56022,107.46193,603.24628,-63.58581,94.29284,620.18585,-10.96195,76.68814,592.30066,-13.48451,142.46114,573.25037,4.17868,89.76674,567.0575,-4.22719,37.81411,555.0072
54,0.442,-85.11834,156.4686,575.04913,-103.56022,107.46193,603.24628,-63.8189,94.14084,620.09137,-10.96195,76.68814,592.30066,-13.74307,142.24207,573.23828,4.17868,89.76674,567.0575,-4.28331,38.25367,554.52502
55,0.45,-85.11834,156.4686,575.04913,-103.56022,107.46193,603.24628,-63.8189,94.14084,620.09137,-10.96195,76.68814,592.30066,-13.74307,142.24207,573.23828,4.28813,88.88098,567.10248,-4.60495,37.95317,554.10663
56,0.458,-85.35613,156.24075,575.95715,-103.56022,107.46193,603.24628,-63.8189,94.14084,620.09137,-10.96195,76.68814,592.30066,-13.92021,142.02657,573.591,4.40808,89.11256,566.89624,-4.60495,37.95317,554.10663
57,0.467,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.90156,93.85307,620.01056,-10.92554,76.11428,592.2558,-14.07099,141.60803,573.80536,4.37198,88.51739,567.51288,-4.42227,36.76603,554.45984
58,0.475,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.0842,93.79653,619.89728,-10.92554,76.11428,592.2558,-14.04789,141.57767,574.17084,4.17461,88.33829,567.33228,-4.22169,36.79202,554.13824
59,0.483,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-64.53587,93.68174,619.72137,-10.92554,76.11428,592.2558,-14.07099,141.60803,573.80536,4.35633,88.13189,567.51465,-4.61466,36.82927,553.85022
60,0.492,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-63.97978,94.14867,619.54828,-10.92554,76.11428,592.2558,-13.87465,141.61285,574.46875,4.43815,88.13414,567.48828,-4.61466,36.82927,553.85022
61,0.5,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-63.97978,94.14867,619.54828,-10.99139,76.08121,591.73895,-13.78818,141.47169,574.60577,4.38211,87.49837,567.61603,-5.23933,36.65944,553.66919
62,0.508,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-63.97978,94.14867,619.54828,-11.20543,75.76022,591.54224,-13.64993,141.33539,574.67297,4.38211,87.49837,567.61603,-5.18051,36.28173,554.10504
63,0.517,-85.64841,155.9296,576.51221,-104.48674,104.95383,603.27704,-63.97978,94.14867,619.54828,-11.20543,75.76022,591.54224,-13.58857,141.0005,574.41034,4.38211,87.49837,567.61603,-5.23933,36.65944,553.66919
64,0.525,-85.64841,155.9296,576.51221,-104.53651,105.94217,603.20459,-63.97978,94.14867,619.54828,-11.20543,75.76022,591.54224,-13.64993,141.33539,574.67297,4.86725,86.93725,567.58417,-5.23933,36.65944,553.66919
65,0.533,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-63.97978,94.14867,619.54828,-11.23823,75.38035,591.37024,-13.64993,141.33539,574.67297,4.582,86.57713,567.69037,-5.23933,36.65944,553.66919
66,0.542,-85.64841,155.9296,576.51221,-104.48674,104.95383,603.27704,-63.97978,94.14867,619.54828,-11.23823,75.38035,591.37024,-13.64993,141.33539,574.67297,4.86725,86.93725,567.58417,-5.23933,36.65944,553.66919
67,0.55,-85.64841,155.9296,576.51221,-104.20442,106.78485,603.49707,-63.97978,94.14867,619.54828,-11.20543,75.76022,591.54224,-13.64993,141.33539,574.67297,4.38211,87.49837,567.61603,-4.88893,36.5503,553.9054
68,0.558,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.97978,94.14867,619.54828,-11.20543,75.76022,591.54224,-13.73642,141.47656,574.53595,4.38211,87.49837,567.61603,-4.88893,36.5503,553.9054
69,0.567,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.97978,94.14867,619.54828,-10.92554,76.11428,592.2558,-13.87465,141.61285,574.46875,4.61247,87.92757,567.67316,-4.61466,36.82927,553.85022
70,0.575,-85.64841,155.9296,576.51221,-103.74877,107.17839,603.41174,-63.76747,94.33046,619.63159,-10.92554,76.11428,592.2558,-13.87465,141.61285,574.46875,4.80976,88.10667,567.8537,-4.61466,36.82927,553.85022
71,0.583,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.13887,94.28032,619.74341,-10.92554,76.11428,592.2558,-13.87465,141.61285,574.46875,4.80976,88.10667,567.8537,-4.28052,37.16972,553.70245
72,0.592,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.54555,93.42663,619.62445,-10.92554,76.11428,592.2558,-13.88319,141.6152,574.27197,4.63547,88.31323,567.66882,-4.28052,37.16972,553.70245
73,0.6,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.50002,93.69347,619.76483,-10.92554,76.11428,592.2558,-13.90627,141.64557,573.90656,4.63547,88.31323,567.66882,-4.28052,37.16972,553.70245
74,0.608,-85.64148,155.81857,575.94916,-103.56022,107.46193,603.24628,-63.17531,93.91603,620.0589,-10.92554,76.11428,592.2558,-13.51085,141.20667,573.80023,4.28813,88.88098,567.10248,-4.38941,37.79354,553.52802
75,0.617,-85.64148,155.81857,575.94916,-103.56022,107.46193,603.24628,-63.22083,93.64923,619.91852,-10.92554,76.11428,592.2558,-13.74438,141.93591,573.80591,4.40808,89.11256,566.89624,-4.28052,37.16972,553.70245
76,0.625,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.23475,94.03781,619.95905,-10.47468,76.12456,592.26752,-13.88319,141.6152,574.27197,4.13881,90.02799,567.47906,-4.45433,37.96178,553.94379
77,0.633,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.46295,93.71452,619.70532,-10.92554,76.11428,592.2558,-13.85934,141.58481,574.63745,4.13881,90.02799,567.47906,-4.45433,37.96178,553.94379
78,0.642,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.46295,93.71452,619.70532,-10.47468,76.12456,592.26752,-13.88597,141.86801,574.07019,4.40808,89.11256,566.89624,-4.45433,37.96178,553.94379
79,0.65,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.54555,93.42663,619.62445,-10.47468,76.12456,592.26752,-13.72127,141.90553,574.17133,4.55678,88.98111,567.57788,-4.3282,37.3243,554.08942
80,0.658,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.60499,93.54841,619.52454,-10.92554,76.11428,592.2558,-13.88319,141.6152,574.27197,4.13881,90.02799,567.47906,-4.45433,37.96178,553.94379
81,0.667,-85.64148,155.81857,575.94916,-103.56022,107.46193,603.24628,-64.00819,93.68134,619.68634,-10.99139,76.08121,591.73895,-13.90627,141.64557,573.90656,4.40808,89.11256,566.89624,-4.28052,37.16972,553.70245
82,0.675,-85.64148,155.81857,575.94916,-103.56022,107.46193,603.24628,-63.84871,94.47693,619.08856,-10.99139,76.08121,591.73895,-13.8375,140.8788,573.79968,4.40808,89.11256,566.89624,-4.38941,37.79354,553.52802
83,0.683,-85.64841,155.9296,576.51221,-104.01408,107.20663,603.5058,-63.82021,94.45974,619.52728,-10.99139,76.08121,591.73895,-14.04789,141.57767,574.17084,4.40808,89.11256,566.89624,-4.28052,37.16972,553.70245
84,0.692,-85.64841,155.9296,576.51221,-103.56022,107.46193,603.24628,-63.82021,94.45974,619.52728,-11.2046,76.3293,592.0918,-13.88319,141.6152,574.27197,4.40808,89.11256,566.89624,-4.28052,37.16972,553.70245
85,0.7,-85.64148,155.81857,575.94916,-104.01588,107.0684,603.33167,-64.03254,94.27795,619.44397,-11.20543,75.76022,591.54224,-13.90627,141.64557,573.90656,4.25497,88.51858,567.12927,-4.96506,36.93842,553.61401
86,0.708,-85.64841,155.9296,576.51221,-103.86662,107.35799,603.36316,-63.97978,94.14867,619.54828,-11.16641,75.87418,592.08893,-14.04789,141.57767,574.17084,4.17103,88.88222,566.71881,-5.28701,36.81404,554.05627
